iter	RMSE
0	385.3210371
1	352.2222946
2	321.8960804
3	295.0337088
4	270.6248628
5	248.2042193
6	228.4019539
7	210.3192873
8	194.3552081
9	179.8894383
10	166.8063789
11	154.987337
12	144.751692
13	135.2551038
14	126.8562796
15	119.1098406
16	112.4048391
17	106.3148014
18	100.9098129
19	96.0878964
20	91.90461063
21	88.39535444
22	84.98532695
23	81.9091293
24	79.19050684
25	76.99451398
26	74.68193345
27	72.84611741
28	71.17194283
29	69.63188996
30	68.13895243
31	66.80831072
32	65.58383452
33	64.40789794
34	63.27018039
35	62.46219291
36	61.51270974
37	60.79571059
38	60.09172766
39	59.36175002
40	58.65429402
41	57.86460196
42	57.34930958
43	56.79047718
44	56.17126271
45	55.73604735
46	55.18362321
47	54.81271161
48	54.33330507
49	53.8086743
50	53.33206343
51	52.88803566
52	52.58709958
53	52.17160727
54	51.81320398
55	51.44307091
56	51.07418322
57	50.70027236
58	50.42600819
59	50.10052684
60	49.82657695
61	49.53084351
62	49.06534633
63	48.81439312
64	48.59232811
65	48.23591563
66	47.89587021
67	47.61994472
68	47.40337551
69	47.16949372
70	46.94475574
71	46.73397308
72	46.54401093
73	46.25096597
74	46.03411521
75	45.81291079
76	45.64823221
77	45.40953964
78	45.09302481
79	44.91080795
80	44.76183925
81	44.62438827
82	44.41669582
83	44.25436561
84	44.12473946
85	43.98755244
86	43.81497448
87	43.66985683
88	43.48097046
89	43.35152926
90	43.215008
91	43.07921258
92	42.92928994
93	42.78775971
94	42.67986724
95	42.51310871
96	42.40857182
97	42.23584848
98	42.05385118
99	41.85652427
100	41.57569964
101	41.46867272
102	41.33086202
103	41.15752948
104	40.98997203
105	40.8322039
106	40.74149029
107	40.61586459
108	40.48441276
109	40.29055061
110	40.17307265
111	40.05486034
112	39.95269047
113	39.79993954
114	39.71388422
115	39.57297629
116	39.48902446
117	39.38559352
118	39.26750146
119	39.12961163
120	39.00494731
121	38.92734417
122	38.80489028
123	38.68292688
124	38.50883024
125	38.41746731
126	38.34226066
127	38.21064088
128	38.0221883
129	37.89309134
130	37.73705165
131	37.60826905
132	37.52780014
133	37.41444244
134	37.29927739
135	37.19994082
136	37.08197338
137	36.99477164
138	36.8987646
139	36.83830918
140	36.76322139
141	36.70702164
142	36.61771236
143	36.50529321
144	36.43876223
145	36.31764827
146	36.23241319
147	36.14890792
148	36.06910507
149	36.02044575
150	35.90922939
151	35.79219726
152	35.7252748
153	35.60068796
154	35.49457817
155	35.41098605
156	35.33624767
157	35.24258097
158	35.13269637
159	35.07606254
160	34.98857893
161	34.91459878
162	34.82734926
163	34.75676323
164	34.64848949
165	34.56115924
166	34.48250843
167	34.38841045
168	34.31528438
169	34.22067274
170	34.13893244
171	34.05777797
172	33.99983566
173	33.92892234
174	33.86295003
175	33.8119508
176	33.75746658
177	33.70679623
178	33.65409432
179	33.59532337
180	33.52953604
181	33.49123415
182	33.44410059
183	33.34737289
184	33.26487074
185	33.22821293
186	33.16700037
187	33.13194133
188	33.08343536
189	33.03506285
190	32.9502544
191	32.90338866
192	32.83960614
193	32.77589806
194	32.74326416
195	32.67600593
196	32.60104254
197	32.54824005
198	32.478109
199	32.39313559
200	32.34268165
201	32.25451568
202	32.18268131
203	32.11965533
204	32.07946093
205	32.03192181
206	31.98490881
207	31.93258748
208	31.86789148
209	31.84414446
210	31.78673078
211	31.74963108
212	31.69029821
213	31.61867714
214	31.58032303
215	31.51146504
216	31.47243955
217	31.40285454
218	31.35660336
219	31.32716694
220	31.27178583
221	31.20057668
222	31.16159229
223	31.10334668
224	31.06803519
225	31.03879741
226	30.99039241
227	30.94759335
228	30.91778459
229	30.86753509
230	30.84072502
231	30.79859934
232	30.77706074
233	30.7284653
234	30.67336626
235	30.61989284
236	30.5605336
237	30.5057126
238	30.45491246
239	30.37864595
240	30.32229109
241	30.29572458
242	30.24475589
243	30.20498775
244	30.16227361
245	30.10476194
246	30.04396982
247	30.01278063
248	29.97490525
249	29.92432795
250	29.89701965
251	29.85535196
252	29.82221039
253	29.77642563
254	29.72774844
255	29.6746829
256	29.62325504
257	29.59518353
258	29.5433402
259	29.50900047
260	29.48070841
261	29.43365253
262	29.41447738
263	29.35240153
264	29.31505475
265	29.24857729
266	29.19632857
267	29.1645154
268	29.11429675
269	29.06445906
270	29.00617343
271	28.96601986
272	28.92875009
273	28.89527958
274	28.84958996
275	28.80154559
276	28.74694935
277	28.70626115
278	28.66765012
279	28.63888645
280	28.58764962
281	28.53450363
282	28.49440624
283	28.4484701
284	28.42134074
285	28.40252828
286	28.37056855
287	28.33595508
288	28.28842818
289	28.26931554
290	28.2315901
291	28.18293591
292	28.15089161
293	28.11488894
294	28.09267003
295	28.06007615
296	28.02771031
297	27.99237586
298	27.95100325
299	27.90578177
300	27.87121118
301	27.82293867
302	27.7704132
303	27.73027033
304	27.69901747
305	27.66627089
306	27.64527895
307	27.60831935
308	27.56358639
309	27.51870027
310	27.48036746
311	27.44519859
312	27.39863642
313	27.35715354
314	27.33364341
315	27.29539848
316	27.26233667
317	27.2295341
318	27.19678331
319	27.16346588
320	27.12732565
321	27.09650478
322	27.06730689
323	27.03567491
324	26.99062938
325	26.96484893
326	26.91780821
327	26.89130003
328	26.85412555
329	26.81941153
330	26.80044988
331	26.77908896
332	26.75397859
333	26.70937081
334	26.68273688
335	26.63614418
336	26.6011513
337	26.56331025
338	26.54927108
339	26.52288243
340	26.48676215
341	26.45152884
342	26.43221416
343	26.39890651
344	26.36628745
345	26.33335543
346	26.30653293
347	26.29125234
348	26.27669565
349	26.23901313
350	26.20702182
351	26.1824659
352	26.17166688
353	26.14770378
354	26.12138552
355	26.11002991
356	26.08340294
357	26.04392598
358	26.02586452
359	25.99736677
360	25.97354399
361	25.93456095
362	25.90920423
363	25.87443612
364	25.84072538
365	25.82944911
366	25.81009687
367	25.77703159
368	25.74851091
369	25.71757802
370	25.67812564
371	25.64362925
372	25.62940351
373	25.59964304
374	25.58666188
375	25.56408237
376	25.53366766
377	25.50685153
