iter	Passed	Remaining
377	7362	12115
378	7382	12096
379	7401	12076
380	7420	12056
381	7440	12036
382	7461	12019
383	7480	12000
384	7500	11981
385	7522	11965
386	7544	11949
387	7569	11939
388	7594	11928
389	7621	11921
390	7647	11911
391	7674	11902
392	7698	11890
393	7716	11867
394	7734	11846
395	7752	11825
396	7772	11805
397	7790	11784
398	7809	11763
399	7829	11744
400	7848	11723
401	7866	11702
402	7886	11683
403	7906	11663
404	7925	11643
405	7944	11623
406	7964	11604
407	7984	11585
408	8006	11568
409	8025	11548
410	8044	11528
411	8064	11509
412	8083	11489
413	8103	11470
414	8124	11452
415	8145	11435
416	8165	11416
417	8186	11398
418	8207	11380
419	8228	11362
420	8248	11343
421	8267	11323
422	8289	11306
423	8311	11290
424	8329	11269
425	8349	11249
426	8369	11231
427	8388	11211
428	8408	11191
429	8427	11171
430	8446	11151
431	8468	11134
432	8487	11114
433	8507	11095
434	8527	11075
435	8549	11059
436	8568	11038
437	8587	11018
438	8606	10997
439	8626	10978
440	8644	10958
441	8664	10938
442	8683	10917
443	8701	10896
444	8721	10877
445	8740	10856
446	8759	10836
447	8778	10816
448	8799	10798
449	8818	10778
450	8839	10760
451	8860	10742
452	8879	10722
453	8901	10704
454	8921	10686
455	8942	10667
456	8961	10647
457	8980	10627
458	9000	10608
459	9021	10590
460	9040	10569
461	9059	10549
462	9078	10529
463	9098	10510
464	9120	10493
465	9139	10473
466	9158	10452
467	9177	10432
468	9196	10412
469	9216	10393
470	9237	10374
471	9259	10358
472	9279	10338
473	9298	10318
474	9318	10299
475	9337	10278
476	9356	10258
477	9375	10238
478	9393	10217
479	9413	10197
480	9432	10178
481	9453	10159
482	9473	10140
483	9495	10123
484	9517	10106
485	9540	10089
486	9561	10072
487	9582	10053
488	9604	10036
489	9625	10017
490	9646	10000
491	9674	9989
492	9702	9977
493	9728	9964
494	9753	9950
495	9779	9936
496	9803	9921
497	9824	9903
498	9843	9883
499	9863	9863
500	9883	9843
501	9902	9823
502	9921	9803
503	9949	9791
504	9969	9772
505	9990	9753
506	10013	9737
507	10036	9720
508	10056	9700
509	10076	9681
510	10097	9662
511	10117	9643
512	10138	9624
513	10158	9604
514	10178	9585
515	10198	9565
516	10219	9547
517	10240	9528
518	10260	9509
519	10279	9488
520	10299	9469
521	10320	9450
522	10339	9429
523	10359	9410
524	10379	9390
525	10399	9371
526	10418	9351
527	10438	9331
528	10458	9311
529	10480	9293
530	10501	9275
531	10522	9256
532	10546	9240
533	10564	9219
534	10584	9199
535	10606	9181
536	10625	9161
537	10643	9140
538	10663	9119
539	10682	9100
540	10703	9080
541	10721	9060
542	10740	9039
543	10760	9020
544	10786	9005
545	10820	8997
546	10842	8979
547	10861	8958
548	10881	8938
549	10900	8918
550	10921	8899
551	10940	8879
552	10961	8860
553	10981	8840
554	11001	8820
555	11020	8800
556	11039	8780
557	11059	8760
558	11078	8739
559	11105	8725
560	11124	8705
561	11144	8685
562	11163	8665
563	11183	8645
564	11204	8626
565	11222	8605
566	11241	8585
567	11260	8564
568	11280	8544
569	11300	8524
570	11319	8504
571	11339	8485
572	11358	8464
573	11378	8444
574	11397	8423
575	11416	8404
576	11437	8385
577	11457	8364
578	11477	8345
579	11497	8326
580	11517	8306
581	11536	8285
582	11560	8268
583	11582	8250
584	11602	8230
585	11621	8210
586	11640	8189
587	11662	8171
588	11682	8152
589	11701	8131
590	11721	8111
591	11740	8091
592	11760	8071
593	11780	8052
594	11800	8032
595	11819	8012
596	11838	7991
597	11858	7971
598	11880	7953
599	11899	7932
600	11919	7912
601	11938	7893
602	11958	7872
603	11977	7852
604	11997	7832
605	12017	7813
606	12037	7793
607	12055	7772
608	12075	7752
609	12095	7733
610	12117	7714
611	12135	7693
612	12153	7673
613	12172	7652
614	12192	7632
615	12211	7612
616	12228	7590
617	12248	7571
618	12269	7551
619	12289	7532
620	12308	7511
621	12327	7491
622	12349	7473
623	12369	7453
624	12389	7433
625	12407	7412
626	12427	7392
627	12446	7372
628	12466	7352
629	12486	7333
630	12505	7312
631	12526	7293
632	12547	7274
633	12566	7254
634	12586	7234
635	12605	7214
636	12623	7193
637	12643	7174
638	12663	7154
639	12682	7133
640	12701	7113
641	12722	7094
642	12741	7074
643	12760	7054
644	12780	7034
645	12799	7014
646	12818	6993
647	12837	6973
648	12857	6953
649	12877	6933
650	12896	6913
651	12915	6893
652	12934	6873
653	12953	6853
654	12973	6833
655	12993	6813
656	13012	6793
657	13034	6774
658	13054	6755
659	13074	6735
660	13093	6715
661	13115	6696
662	13135	6676
663	13155	6657
664	13176	6637
665	13196	6617
666	13214	6597
667	13235	6578
668	13255	6558
669	13276	6539
670	13295	6518
671	13314	6498
672	13335	6479
673	13354	6459
674	13375	6440
675	13397	6421
676	13418	6402
677	13438	6382
678	13460	6363
679	13481	6344
680	13503	6325
681	13538	6312
682	13564	6295
683	13595	6280
684	13620	6263
685	13644	6245
686	13669	6227
687	13700	6213
688	13724	6194
689	13755	6179
690	13785	6164
691	13810	6146
692	13838	6130
693	13862	6112
694	13890	6095
695	13915	6078
696	13943	6061
697	13970	6044
698	13990	6024
699	14010	6004
700	14030	5984
701	14054	5966
702	14077	5947
703	14106	5931
704	14135	5914
705	14158	5896
706	14185	5878
707	14214	5862
708	14243	5845
709	14262	5825
710	14283	5805
711	14303	5785
712	14322	5765
713	14341	5744
714	14361	5724
715	14381	5704
716	14400	5683
717	14419	5663
718	14440	5643
719	14458	5622
720	14478	5602
721	14498	5582
722	14520	5563
723	14541	5543
724	14559	5522
725	14580	5502
726	14599	5482
727	14618	5461
728	14636	5440
729	14660	5422
730	14681	5402
731	14709	5385
732	14737	5368
733	14762	5349
734	14785	5330
735	14811	5312
736	14835	5294
737	14861	5275
738	14883	5256
739	14908	5238
740	14927	5217
741	14946	5197
742	14968	5177
743	14987	5157
744	15007	5136
745	15028	5116
746	15050	5097
747	15070	5077
748	15090	5057
749	15110	5036
750	15130	5016
751	15150	4996
752	15170	4976
753	15189	4955
754	15209	4935
755	15230	4915
756	15251	4895
757	15272	4875
758	15292	4855
759	15316	4836
760	15340	4817
761	15364	4798
762	15389	4780
763	15412	4760
764	15439	4742
765	15460	4722
766	15478	4702
767	15502	4683
768	15523	4663
769	15542	4642
770	15561	4621
771	15581	4601
772	15597	4580
773	15617	4560
774	15636	4539
775	15655	4519
776	15675	4498
777	15697	4479
778	15716	4458
779	15736	4438
780	15756	4418
781	15778	4398
782	15799	4378
783	15820	4358
784	15842	4338
785	15863	4319
786	15884	4299
787	15906	4279
788	15926	4259
789	15948	4239
790	15972	4220
791	15994	4200
792	16013	4180
793	16033	4159
794	16052	4139
795	16072	4119
796	16091	4098
797	16111	4078
798	16138	4059
799	16165	4041
800	16218	4029
801	16249	4011
802	16269	3991
803	16289	3971
804	16310	3950
805	16329	3930
806	16347	3909
807	16367	3889
808	16386	3868
809	16406	3848
810	16425	3827
811	16451	3808
812	16471	3788
813	16492	3768
814	16514	3748
815	16532	3728
816	16551	3707
817	16570	3686
818	16589	3666
819	16610	3646
820	16630	3625
821	16649	3605
822	16667	3584
823	16686	3564
824	16705	3543
825	16724	3523
826	16744	3502
827	16764	3482
828	16784	3462
829	16804	3441
830	16823	3421
831	16842	3400
832	16862	3380
833	16881	3360
834	16901	3339
835	16920	3319
836	16939	3298
837	16959	3278
838	16984	3259
839	17010	3240
840	17035	3220
841	17060	3201
842	17085	3181
843	17109	3162
844	17134	3143
845	17162	3124
846	17187	3104
847	17213	3085
848	17242	3066
849	17268	3047
850	17290	3027
851	17309	3006
852	17329	2986
853	17347	2965
854	17367	2945
855	17387	2924
856	17406	2904
857	17425	2883
858	17444	2863
859	17463	2842
860	17483	2822
861	17513	2803
862	17533	2783
863	17552	2762
864	17569	2742
865	17588	2721
866	17607	2701
867	17627	2680
868	17647	2660
869	17669	2640
870	17689	2619
871	17710	2599
872	17732	2579
873	17755	2559
874	17774	2539
875	17794	2518
876	17814	2498
877	17832	2477
878	17853	2457
879	17871	2437
880	17891	2416
881	17911	2396
882	17934	2376
883	17956	2356
884	17981	2336
885	18005	2316
886	18024	2296
887	18043	2275
888	18062	2255
889	18081	2234
890	18099	2214
891	18119	2193
892	18139	2173
893	18158	2153
894	18179	2132
895	18199	2112
896	18218	2091
897	18240	2071
898	18262	2051
899	18281	2031
900	18302	2010
901	18321	1990
902	18339	1970
903	18359	1949
904	18378	1929
905	18399	1908
906	18418	1888
907	18439	1868
908	18459	1847
909	18487	1828
910	18508	1808
911	18535	1788
912	18555	1768
913	18575	1747
914	18594	1727
915	18614	1707
916	18632	1686
917	18652	1666
918	18671	1645
919	18690	1625
920	18710	1604
921	18729	1584
922	18748	1564
923	18767	1543
924	18787	1523
925	18806	1502
926	18826	1482
927	18845	1462
928	18866	1441
929	18889	1421
930	18917	1402
931	18945	1382
932	18974	1362
933	18993	1342
934	19012	1321
935	19031	1301
936	19051	1280
937	19071	1260
938	19090	1240
939	19110	1219
940	19128	1199
941	19148	1178
942	19167	1158
943	19187	1138
944	19207	1117
945	19227	1097
946	19246	1077
947	19266	1056
948	19287	1036
949	19306	1016
950	19325	995
951	19345	975
952	19365	955
953	19386	934
954	19406	914
955	19426	894
956	19446	873
957	19466	853
958	19490	833
959	19510	812
960	19529	792
961	19549	772
962	19568	751
963	19588	731
964	19608	711
965	19628	690
966	19648	670
967	19667	650
968	19689	629
969	19708	609
970	19729	589
971	19749	568
972	19768	548
973	19794	528
974	19813	508
975	19833	487
976	19852	467
977	19882	447
978	19902	426
979	19925	406
980	19947	386
981	19968	366
982	19988	345
983	20009	325
984	20030	305
985	20049	284
986	20072	264
987	20091	244
988	20111	223
989	20131	203
990	20151	183
991	20170	162
992	20192	142
993	20212	122
994	20232	101
995	20251	81
996	20270	60
997	20292	40
998	20312	20
999	20331	0
